Current Loan Amount,Term-Long Term,Term-Short Term,Credit Score,Annual Income,Years in current job-< 1 year,Years in current job-1 year,Years in current job-10+ years,Years in current job-2 years,Years in current job-3 years,Years in current job-4 years,Years in current job-5 years,Years in current job-6 years,Years in current job-7 years,Years in current job-8 years,Years in current job-9 years,Years in current job-n/a,Home Ownership-HaveMortgage,Home Ownership-Home Mortgage,Home Ownership-Own Home,Home Ownership-Rent,Purpose-Business Loan,Purpose-Buy a Car,Purpose-Buy House,Purpose-Debt Consolidation,Purpose-Educational Expenses,Purpose-Home Improvements,Purpose-major_purchase,Purpose-Medical Bills,Purpose-moving,Purpose-other,Purpose-Other,Purpose-renewable_energy,Purpose-small_business,Purpose-Take a Trip,Purpose-vacation,Purpose-wedding,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Scored Labels,Scored Probabilities
121110,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10749.44,19.2,52,4,0,102087,198330,0,0,1,0.766689836978912
258104,0,1,723,1284514,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6368.99,14.6,64,12,0,128402,266904,0,0,1,0.905829548835754
161722,0,1,680,504374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6094.63,9.5,NA,13,0,167903,388828,0,0,1,0.737149834632874
753016,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9627.49,21.7,21,9,0,384522,657646,0,0,1,0.693791747093201
444664,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22817.86,17.9,8,25,0,318953,971872,0,0,1,0.64818263053894
172282,0,1,696,669560,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17966.78,18.2,NA,16,0,431490,999262,0,0,1,0.865497291088104
275440,0,1,729,1236976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21647.08,35.8,NA,13,0,151088,264242,0,0,1,0.635297060012817
218834,0,1,742,1077262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19390.64,24.5,29,37,0,212800,502876,0,0,1,0.930855870246887
99999999,0,1,715,442339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14007.18,17,25,14,0,65474,284966,0,0,1,0.999382138252258
99999999,1,0,715,694526,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4358.22,17.3,47,5,0,137332,272734,0,0,1,0.999375820159912
346610,0,1,744,2245116,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24134.94,17.6,68,14,0,729695,1307922,0,0,1,0.862586140632629
99999999,0,1,747,1394676,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5834.33,31.9,NA,7,0,164350,569778,0,0,1,0.99981153011322
219648,1,0,722,682898,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18893.79,15.5,NA,8,0,347396,553300,0,0,1,0.831221342086792
334620,0,1,740,963300,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16536.65,16.4,55,17,0,330581,843128,0,0,1,0.856813907623291
219868,0,1,736,683582,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9057.49,9.6,NA,8,0,121467,215380,0,0,1,0.741800606250763
222816,1,0,708,990185,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6031.93,17.5,NA,8,1,125020,343860,1,0,1,0.737408995628357
108416,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41882.46,20.4,NA,11,0,827051,1003816,0,0,1,0.681130766868591
108152,0,1,705,747156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20235.38,19.9,15,14,0,174344,348062,0,0,1,0.803951561450958
174724,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11341.29,8.2,NA,4,0,85633,126632,0,0,1,0.70892322063446
404008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42159.86,15.9,NA,16,0,684950,1054636,0,0,1,0.735716342926025
360228,0,1,740,2138906,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27984.15,15.5,18,8,0,164008,225280,0,0,1,0.924715220928192
218724,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4967.36,11,6,7,0,16511,108064,0,0,1,0.709379494190216
441012,0,1,738,979716,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12899.67,27.3,NA,11,0,380228,608938,0,0,1,0.806074917316437
337370,1,0,717,1146004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14802.33,21,32,9,0,256139,423104,0,0,1,0.796198606491089
765688,1,0,706,5951484,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61498.63,22.4,NA,13,0,549100,1464980,0,0,1,0.581754803657532
468908,1,0,6470,1833842,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5898.93,14.4,NA,19,1,183863,809490,1,0,0,0.294387996196747
219428,0,1,712,1301671,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22237.03,15.6,NA,9,0,458679,624096,0,0,1,0.791407942771912
574904,0,1,706,1306592,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8078.99,14,NA,4,0,1596,306196,0,0,1,0.839610874652863
401192,0,1,704,1539912,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27500.41,22,NA,18,0,423092,769054,0,0,1,0.821185231208801
257444,0,1,736,648508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5944.53,17.5,46,10,0,204516,621566,0,0,1,0.777817130088806
309694,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23473.17,26,38,10,0,402059,650188,0,0,1,0.614818692207336
214258,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7207.46,12.8,69,10,1,209361,338580,0,0,1,0.733812391757965
325754,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14301.3,25,13,11,0,165186,466532,0,0,1,0.82352489233017
651354,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32314.25,19.1,37,21,0,356687,1868768,0,0,1,0.753302872180939
262108,0,1,733,855342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9194.86,22.8,NA,5,0,110884,224840,0,0,1,0.770873665809631
310376,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5101.12,8.5,NA,10,0,126179,241890,0,0,1,0.746240079402924
429616,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21998.58,22.3,25,12,0,321898,847066,0,0,1,0.827221810817719
414744,0,1,706,1164225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14746.66,10.5,NA,17,0,258172,797170,0,0,1,0.803945660591125
654126,1,0,646,2504504,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14818.48,31.9,11,7,0,130264,187594,0,0,1,0.618285536766052
539990,1,0,682,1790807,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24026.64,17.3,53,13,1,81358,382910,1,0,1,0.663416981697083
531476,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30122.6,26.4,NA,26,0,658559,3272720,0,0,1,0.819713711738586
316426,1,0,717,683183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16453.24,15,2,10,0,136952,554488,0,0,1,0.797590732574463
473902,1,0,713,1042511,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22240.45,14,NA,7,0,232655,386496,0,0,1,0.794124901294708
223344,0,1,716,1195898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11759.86,17.6,71,7,0,94677,167618,0,0,1,0.874873816967011
766238,1,0,649,1796165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36821.24,33.1,NA,10,0,510093,925760,0,0,1,0.793096721172333
471152,1,0,688,1017279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14496.24,8.5,NA,7,0,115444,218064,0,0,1,0.69075471162796
563486,0,1,747,2647308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45666.12,16.8,NA,26,0,137256,2337082,0,0,1,0.901439249515533
219824,1,0,702,2088328,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22275.41,21.7,NA,13,1,155800,451044,1,0,1,0.758800983428955
304986,1,0,674,4872778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30130.01,21.9,26,13,0,155078,1081740,0,0,1,0.755709290504456
105666,1,0,742,806170,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15135.78,15.9,NA,10,0,226708,653026,0,0,1,0.834987759590149
346412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7824.39,14.8,74,10,0,333678,482966,0,0,1,0.711396813392639
253506,1,0,733,1403492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30525.78,26.7,40,19,0,16492,149138,0,0,1,0.601005852222443
170126,0,1,712,1137492,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3564.21,12.5,40,5,0,70205,109692,0,0,1,0.883996963500977
134398,0,1,746,2205425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38447.83,33.5,NA,15,0,668629,1084314,0,0,1,0.850737392902374
442948,1,0,719,956365,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26618.81,8,NA,17,0,384351,1101562,0,0,1,0.669235169887543
142868,0,1,740,2429815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14781.43,31,52,15,0,189449,507782,0,0,1,0.84458190202713
332508,0,1,707,926345,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13895.27,19.6,NA,9,0,356554,571010,0,0,1,0.864633917808533
235950,0,1,726,1164396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13390.63,15.7,NA,7,0,168074,321156,0,0,1,0.760069251060486
290708,0,1,7440,1487776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10067.15,17.1,NA,9,0,387277,1047706,0,0,0,0.0511127710342407
153714,0,1,740,995714,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13939.92,21.7,NA,8,0,218614,371184,0,0,1,0.877807319164276
69366,0,1,731,1273133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28433.5,20.5,NA,11,0,84930,339086,0,0,1,0.774953186511993
108878,0,1,751,1316434,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4377.22,37.5,NA,18,0,354920,2151556,0,0,1,0.941262722015381
288068,1,0,685,948062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22121.32,14.5,NA,13,0,358359,527912,0,0,1,0.682052433490753
447436,1,0,722,1159266,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20287.25,43.4,NA,17,0,448514,1022318,0,0,1,0.914539098739624
401192,0,1,721,1116440,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14792.83,13.5,48,9,0,431414,731368,0,0,1,0.851601004600525
165440,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8257.21,12.2,NA,7,0,54986,117260,0,0,1,0.807012856006622
168124,0,1,7110,967955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14519.42,14.5,34,18,0,143697,311608,0,0,0,0.118705473840237
306460,1,0,652,3503106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7590.12,10.2,NA,9,0,133817,303226,0,0,0,0.479782313108444
657162,0,1,740,3783660,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25508.07,15.2,13,14,0,579937,948464,0,0,1,0.899804830551147
314072,0,1,748,627722,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9959.99,29.2,NA,11,0,211242,1881462,0,0,1,0.893128216266632
763686,1,0,740,2581663,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46469.82,25.6,NA,15,0,1137036,3033580,0,0,1,0.756405055522919
526900,1,0,667,1516808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22246.53,23,6,7,0,196992,254584,0,0,1,0.53589141368866
330132,0,1,743,1520608,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17613.76,17,7,15,0,133133,213510,0,0,1,0.67778092622757
774928,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50060.44,15.9,43,11,0,721715,1069992,0,0,1,0.840665698051453
531124,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30020.95,19,NA,22,1,563293,949388,1,0,1,0.63499516248703
292072,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15030.33,9.8,NA,10,0,304133,525602,0,0,1,0.748823881149292
99999999,0,1,746,1132590,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8230.23,22,20,5,0,298623,917180,0,0,1,0.999613106250763
107668,0,1,747,1394790,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29290.59,18.2,11,10,0,160474,529386,0,0,1,0.938256442546844
268906,0,1,738,909606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16145.63,18,14,11,0,589285,1201288,0,0,1,0.692019701004028
62172,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3239.69,5.8,NA,11,0,97774,193182,0,0,1,0.705986440181732
156398,0,1,716,1234962,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26757.7,19.5,9,21,0,466108,958606,0,0,1,0.849643647670746
44198,1,0,717,839838,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15047.24,17.5,40,7,1,127699,176858,1,0,1,0.8209627866745
765314,1,0,690,1888410,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10543.48,16.5,NA,11,0,97869,602822,0,0,1,0.789672374725342
232364,0,1,742,580260,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4506.61,22.3,NA,5,0,79363,685740,0,0,1,0.903903305530548
141724,0,1,7150,847400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14405.61,13.8,66,8,0,80750,102520,0,0,0,0.127028450369835
180356,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10221.43,25.1,NA,7,1,85424,202708,1,0,1,0.796659708023071
111408,0,1,736,1346891,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19529.91,10.6,NA,13,0,170221,227348,0,0,1,0.766003131866455
161854,0,1,701,660079,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7810.9,17.9,76,9,0,231401,380050,0,0,1,0.892438888549805
145046,0,1,730,832428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15677.28,13.2,NA,6,1,30552,123288,1,0,1,0.7267906665802
272976,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9332.23,12.8,NA,18,0,209171,552970,0,0,1,0.730436265468597
61358,0,1,746,454214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1059.82,13.3,NA,3,0,3553,32428,0,0,1,0.921447336673737
152196,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7908.56,18,39,10,0,117439,358776,0,0,1,0.738862574100494
313676,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7376.37,17.3,NA,14,1,186257,346720,1,0,1,0.626614093780518
293436,0,1,730,1357531,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21946.9,26.2,NA,7,0,763857,1188792,0,0,1,0.741796255111694
773696,1,0,697,2959136,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47099.48,17,NA,9,0,786942,1143274,0,0,1,0.772837400436401
129844,0,1,727,1214746,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19840.94,21.2,11,11,0,175427,448404,0,0,1,0.742573857307434
211156,1,0,717,1177848,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14173.24,18.7,78,7,0,276754,494538,0,0,1,0.880518436431885
224202,0,1,699,619609,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17504.13,7.6,36,14,0,107730,188452,0,0,1,0.857793629169464
150942,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5122.02,6.6,NA,8,0,93176,567842,0,0,1,0.792735695838928
442706,1,0,648,1593036,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29736.71,30.4,NA,19,0,473214,740432,0,0,1,0.691523432731628
403700,1,0,673,1458136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6938.23,21,NA,8,1,363375,627990,1,0,1,0.649797737598419
217756,1,0,738,752248,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10324.6,13.8,NA,10,0,95456,311366,0,0,1,0.574702024459839
99999999,0,1,749,1483881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15086.19,22.4,NA,15,0,65968,606210,0,0,1,0.999632596969604
404734,1,0,657,1209977,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30451.11,20.8,NA,24,0,600096,1030942,0,0,1,0.77331817150116
260744,1,0,704,2683579,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31308.39,37.3,40,14,1,109003,167376,1,0,1,0.804567575454712
490226,1,0,6640,1896390,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19912.19,14,NA,7,0,75487,195558,0,0,0,0.277178019285202
